x,greenLed,InfraredLed
1524836553836,9978,3376692
1524836553864,9955,3376720
1524836553866,9935,3376714
1524836553867,9951,3376695
1524836553878,9938,3376693
1524836553893,9941,3376693
1524836553895,9937,3376797
1524836553908,9957,3376839
1524836553923,9915,3376891
1524836553925,9886,3376955
1524836553938,9903,3377024
1524836553962,9936,3377093
1524836553963,9904,3377084
1524836553968,9934,3377027
1524836553983,9900,3376876
1524836553984,9890,3376754
1524836553998,9913,3376557
1524836554013,9869,3376391
1524836554014,9853,3376166
1524836554028,9874,3375957
1524836554043,9855,3375810
1524836554044,9807,3375637
1524836554058,9835,3375445
1524836554088,9798,3375377
1524836554089,9769,3375275
1524836554090,9791,3375243
1524836554103,9765,3375198
1524836554104,9740,3375223
1524836554133,9747,3375197
1524836554134,9729,3375206
1524836554135,9695,3375238
1524836554148,9713,3375250
1524836554163,9720,3375326
1524836554164,9679,3375384
1524836554178,9720,3375428
1524836554193,9703,3375520
1524836554194,9691,3375522
1524836554223,9696,3375527
1524836554225,9688,3375516
1524836554226,9649,3375508
1524836554238,9694,3375402
1524836554268,9686,3375428
1524836554269,9667,3375395
1524836554270,9682,3375381
1524836554284,9682,3375394
1524836554285,9662,3375377
1524836554298,9648,3375383
1524836554418,9683,3375335
1524836554419,9648,3375314
1524836554420,9638,3375300
1524836554421,9659,3375279
1524836554421,9679,3375210
1524836554433,9631,3375151
1524836554434,9631,3374598
1524836554463,9648,3374595
1524836554493,9646,3374602
1524836554494,9636,3374653
1524836554495,9672,3374674
1524836554508,9635,3374720
1524836554509,9655,3374797
1524836554510,9641,3374856
1524836554511,9652,3374901
1524836554523,9649,3374953
1524836554542,9652,3374985
1524836554543,9663,3374994
1524836554568,9673,3375015
1524836554570,9687,3375063
1524836554571,9650,3375079
1524836554583,9655,3375118
1524836554584,9681,3375149
1524836554598,9667,3375081
1524836554613,9657,3375040
1524836554658,9664,3374966
1524836554688,9647,3374815
1524836554689,9655,3374638
1524836554690,9614,3374492
1524836554692,9610,3374389
1524836554694,9581,3374324
1524836554703,9583,3374192
1524836554704,9570,3374193
1524836554705,9550,3374091
1524836554719,9537,3374057
1524836554733,9553,3374057
1524836554737,9513,3374073
1524836554762,9549,3374090
1524836554808,9523,3374183
1524836554809,9516,3374249
1524836554810,9547,3374260
1524836554811,9510,3374317
1524836554823,9548,3374299
1524836554824,9538,3374380
1524836554838,9493,3374408
1524836554847,9526,3374486
1524836554848,9538,3374520
1524836554853,9536,3374633
1524836554855,9541,3374652
1524836554868,9541,3374713
1524836554883,9537,3374767
1524836554884,9494,3374781
